labels 1 2 3
1 0.981123 0.01167 0.0072068
1 0.96646 0.0251155 0.00842454
1 0.979467 0.0135917 0.00694156
1 0.972242 0.0197053 0.00805233
1 0.983337 0.00973127 0.0069319
1 0.968523 0.019756 0.0117207
1 0.979235 0.0131993 0.00756543
1 0.978338 0.0140879 0.00757421
1 0.96657 0.0248327 0.00859726
1 0.974335 0.0180316 0.00763342
1 0.978896 0.0127284 0.00837584
1 0.978156 0.0141329 0.00771066
1 0.973827 0.0186652 0.00750769
1 0.981867 0.0115425 0.0065902
1 0.978849 0.0116797 0.00947118
1 0.967469 0.0183504 0.0141802
1 0.977042 0.0135294 0.00942881
1 0.977374 0.0146197 0.00800671
1 0.965299 0.0224307 0.0122704
1 0.980155 0.0115595 0.00828506
1 0.966379 0.0235864 0.0100348
1 0.974759 0.0159385 0.00930289
1 0.988489 0.00581072 0.00570067
1 0.938405 0.0479975 0.013597
1 0.970619 0.0200596 0.00932108
1 0.956204 0.0340437 0.00975207
1 0.96381 0.0259512 0.010239
1 0.97825 0.0138706 0.00787957
1 0.97791 0.0144375 0.00765295
1 0.972772 0.0190377 0.00818989
1 0.966894 0.024374 0.00873246
1 0.957793 0.0308764 0.0113303
1 0.984245 0.00782321 0.00793168
1 0.980252 0.0103125 0.0094356
1 0.974335 0.0180316 0.00763342
1 0.978726 0.0143057 0.00696798
1 0.977483 0.0143526 0.00816441
1 0.974335 0.0180316 0.00763342
1 0.974311 0.0179971 0.00769142
1 0.977186 0.0150102 0.00780393
1 0.980238 0.0123825 0.0073794
1 0.872978 0.112382 0.0146401
1 0.980647 0.0123508 0.00700241
1 0.948468 0.0380685 0.0134637
1 0.966181 0.0219465 0.0118728
1 0.959969 0.0307995 0.00923102
1 0.981621 0.0104423 0.00793676
1 0.978167 0.0145576 0.00727523
1 0.980206 0.0117837 0.00801075
1 0.977729 0.0148632 0.00740815
2 0.0157092 0.944561 0.0397302
2 0.0122741 0.943323 0.0444029
2 0.01049 0.829189 0.160321
2 0.00527597 0.967923 0.0268014
2 0.00628446 0.870438 0.123278
2 0.00687766 0.971568 0.0215548
2 0.0128093 0.847271 0.139919
2 0.038695 0.952032 0.00927259
2 0.00829628 0.972305 0.0193986
2 0.0100997 0.96802 0.0218804
2 0.0150816 0.976131 0.0087869
2 0.00931029 0.958767 0.0319231
2 0.00653361 0.989601 0.00386582
2 0.00652073 0.935269 0.0582103
2 0.0205033 0.973622 0.00587436
2 0.0128229 0.968201 0.0189758
2 0.00902272 0.915109 0.0758687
2 0.0146286 0.981859 0.00351212
2 0.00752357 0.682538 0.309938
2 0.00972387 0.986241 0.00403559
3 0.0146616 0.360406 0.624933
2 0.00914485 0.984893 0.00596203
2 0.00742612 0.594544 0.39803
2 0.006748 0.979352 0.0139004
2 0.00927547 0.981712 0.0090121
2 0.00991155 0.968346 0.0217421
2 0.00671069 0.898693 0.0945968
3 0.0101526 0.343545 0.646303
2 0.0068422 0.911157 0.0820011
2 0.025599 0.96852 0.00588126
2 0.00954381 0.985915 0.00454087
2 0.0142356 0.981712 0.00405202
2 0.0105403 0.985344 0.00411574
3 0.00972621 0.328134 0.66214
2 0.0101067 0.906392 0.0835011
2 0.0177248 0.908807 0.0734679
2 0.00990826 0.8971 0.0929917
2 0.00402061 0.949638 0.0463411
2 0.0153442 0.977238 0.00741749
2 0.00630293 0.9779 0.0157967
2 0.00647711 0.979209 0.0143138
2 0.00811138 0.9556 0.0362888
2 0.00779685 0.986999 0.00520406
2 0.0290743 0.963301 0.007625
2 0.00717607 0.978758 0.0140661
2 0.0168038 0.977796 0.00540014
2 0.0105278 0.980512 0.00896068
2 0.00902726 0.981872 0.00910106
2 0.0452889 0.944595 0.0101164
2 0.00912812 0.982189 0.00868338
3 0.00759949 0.000432484 0.991968
3 0.00949742 0.0292074 0.961295
3 0.00639693 0.00185472 0.991748
3 0.00780624 0.0288395 0.963354
3 0.00591113 0.000903203 0.993186
3 0.0075668 0.00097646 0.991457
3 0.0214431 0.313569 0.664988
3 0.00707701 0.00652935 0.986394
3 0.00632409 0.00905496 0.984621
3 0.0109153 0.00130665 0.987778
3 0.0102792 0.0392358 0.950485
3 0.00723535 0.0181048 0.97466
3 0.00676909 0.00406439 0.989167
3 0.00895935 0.0111213 0.979919
3 0.00766268 0.000813238 0.991524
3 0.00815625 0.00228344 0.98956
3 0.00866419 0.0472161 0.94412
3 0.0149595 0.00379917 0.981241
3 0.00872418 0.00057752 0.990698
3 0.0102283 0.353316 0.636456
3 0.00714881 0.00113644 0.991715
3 0.0112685 0.0261878 0.962544
3 0.00792585 0.00119361 0.990881
3 0.00942326 0.122548 0.868029
3 0.00801213 0.0049786 0.987009
3 0.00852726 0.0219752 0.969497
3 0.0103488 0.185918 0.803733
3 0.0114706 0.211853 0.776676
3 0.0058537 0.00188179 0.992265
3 0.00958802 0.118267 0.872145
3 0.00699503 0.00437116 0.988634
3 0.0171458 0.0130162 0.969838
3 0.0056834 0.000910518 0.993406
2 0.00782525 0.6177 0.374474
3 0.00885009 0.377371 0.613779
3 0.0083119 0.000952571 0.990736
3 0.00908152 0.00123957 0.989679
3 0.00967692 0.0583711 0.931952
3 0.012192 0.261694 0.726114
3 0.00761095 0.00675033 0.985639
3 0.00673402 0.000610388 0.992656
3 0.00823594 0.00331425 0.98845
3 0.00949742 0.0292074 0.961295
3 0.00672381 0.000763815 0.992512
3 0.00793357 0.000627486 0.991439
3 0.00722087 0.00192118 0.990858
3 0.00822406 0.0278372 0.963939
3 0.0081575 0.0189395 0.972903
3 0.0100718 0.00320389 0.986724
3 0.0115565 0.130434 0.85801
